ID,university names,country code,address
39,Arizona State University,USA,"Tempe, AZ 85281, United States"
40,Boston University,USA,"Boston, MA 02215, United States"
41,"Rutgers, the State University of New Jersey",USA,"New Brunswick, NJ, United States"
42,University of Texas at San Antonio,USA,"1 UTSA Circle, San Antonio, TX 78249, United States"
43,University of Minnesota Twin Cities,USA,"Minneapolis, MN 55455, United States"
44,"Northeastern University, Boston, MA",USA,"Huntington Ave &, Opera Pl, Boston, MA 02115, United States"
45,University of Rochester,USA,"Rochester, NY, United States"
46,University at Buffalo,USA,"Buffalo, NY 14260, United States"
47,Lehigh University,USA,"27 Memorial Dr W, Bethlehem, PA 18015, United States"
48,Duke University,USA,"Durham, NC 27708, United States"
49,Ohio State University,USA,"Columbus, OH 43210, United States"
50,Stevens Institute of Technology,USA,"711 Hudson St, Hoboken, NJ 07030, United States"
51,"University of California, Santa Cruz",USA,"1156 High St, Santa Cruz, CA 95064, United States"
